event_id,sensor_id,time
55000,33449,79.55657
55000,33451,21.540459
55000,33452,21.174112
55000,33453,4.5479245
55000,33454,129.07516
55000,33455,15.481813
55000,33455,54.49642
55000,33456,10.309894
55000,33456,12.268433
55000,33456,38.192787
55000,33457,2.5586407
55000,33457,22.076845
55000,33457,27.71361
55000,33457,60.20928
55000,33458,2.8686464
55000,33458,12.229693
55000,33458,15.036579
55000,33458,44.01898
55000,33458,64.84676
55000,33459,17.141478
55000,33460,7.740263
55000,33460,17.022327
55000,33460,38.94501
55000,33461,3.2963552
55000,33461,5.838511
55000,33461,49.499313
55000,33461,66.884796
55000,33462,8.707395
55000,33462,42.064644
55000,33462,43.206245
55000,33462,74.788765
55000,33463,6.02682
55000,33463,7.2282896
55000,33463,20.243486
55000,33463,35.055782
55000,33463,93.723114
55000,33464,30.923765
55000,33464,35.319004
55000,33465,49.947453
55000,33465,56.186077
55000,33466,7.933974
55000,33466,14.594348
55000,33466,33.40843
55000,33466,49.287167
55000,33467,5.7056894
55000,33467,12.937405
55000,33469,104.58902
55000,33470,107.55865
55000,33471,22.02987
55000,33472,12.915759
55000,33472,31.685345
55000,33475,27.355652
55000,33476,65.319984
55000,33477,3.5531075
55000,33580,26.482489
55000,33584,46.4303
55000,33589,9.394037
55000,33591,25.221563
