sensor_id,x,y,z
635,-27.993496,391.4002,-24.5
636,-27.993496,391.4002,-17.5
637,-27.993496,391.4002,-10.5
638,-27.993496,391.4002,-3.5
639,-27.993496,391.4002,3.5
640,-27.993496,391.4002,10.5
641,-27.993496,391.4002,17.5
642,-27.993496,391.4002,24.5
643,-27.993496,391.4002,31.5
644,-27.993496,391.4002,38.5
645,-27.993496,391.4002,45.5
646,-27.993496,391.4002,52.5
647,-27.993496,391.4002,59.5
648,-27.993496,391.4002,66.5
649,-27.993496,391.4002,73.5
650,-27.993496,391.4002,80.5
651,-27.993496,391.4002,87.5
652,-27.993496,391.4002,94.5
653,-27.993496,391.4002,101.5
654,-27.993496,391.4002,108.5
655,-27.993496,391.4002,115.5
656,-27.993496,391.4002,122.5
657,-27.993496,391.4002,129.5
658,-27.993496,391.4002,136.5
659,-27.993496,391.4002,143.5
660,-27.993496,391.4002,150.5
661,-27.993496,391.4002,157.5
662,-27.993496,391.4002,164.5
663,-27.993496,391.4002,171.5
664,-27.993496,391.4002,178.5
665,-27.993496,391.4002,185.5
666,-27.993496,391.4002,192.5
667,-27.993496,391.4002,199.5
668,-27.993496,391.4002,206.5
669,-27.993496,391.4002,213.5
670,-27.993496,391.4002,220.5
671,-27.993496,391.4002,227.5
672,-27.993496,391.4002,234.5
673,-27.993496,391.4002,241.5
674,-27.993496,391.4002,248.5
675,-27.993496,391.4002,255.5
676,-27.993496,391.4002,262.5
677,-27.993496,391.4002,269.5
678,-27.993496,391.4002,276.5
679,-27.993496,391.4002,283.5
680,-27.993496,391.4002,290.5
681,-27.993496,391.4002,297.5
682,-27.993496,391.4002,304.5
683,-27.993496,391.4002,311.5
684,-27.993496,391.4002,318.5
685,-27.993496,391.4002,325.5
686,-27.993496,391.4002,332.5
687,-27.993496,391.4002,339.5
688,-27.993496,391.4002,346.5
689,-27.993496,391.4002,353.5
690,-27.993496,391.4002,360.5
691,-27.993496,391.4002,367.5
692,-27.993496,391.4002,374.5
693,-27.993496,391.4002,381.5
694,-27.993496,391.4002,388.5
695,-27.993496,391.4002,395.5
696,-27.993496,391.4002,402.5
697,-27.993496,391.4002,409.5
698,-27.993496,391.4002,416.5
699,-27.993496,391.4002,423.5
700,-27.993496,391.4002,430.5
701,-27.993496,391.4002,437.5
702,-27.993496,391.4002,444.5
703,-27.993496,391.4002,451.5
704,-27.993496,391.4002,458.5
705,-27.993496,391.4002,465.5
706,-27.993496,391.4002,472.5
707,-27.993496,391.4002,479.5
708,-27.993496,391.4002,486.5
709,-27.993496,391.4002,493.5
710,-34.975143,390.8382,-493.5
711,-34.975143,390.8382,-486.5
712,-34.975143,390.8382,-479.5
713,-34.975143,390.8382,-472.5
714,-34.975143,390.8382,-465.5
715,-34.975143,390.8382,-458.5
716,-34.975143,390.8382,-451.5
717,-34.975143,390.8382,-444.5
718,-34.975143,390.8382,-437.5
719,-34.975143,390.8382,-430.5
720,-34.975143,390.8382,-423.5
721,-34.975143,390.8382,-416.5
722,-34.975143,390.8382,-409.5
723,-34.975143,390.8382,-402.5
724,-34.975143,390.8382,-395.5
725,-34.975143,390.8382,-388.5
726,-34.975143,390.8382,-381.5
727,-34.975143,390.8382,-374.5
728,-34.975143,390.8382,-367.5
729,-34.975143,390.8382,-360.5
730,-34.975143,390.8382,-353.5
731,-34.975143,390.8382,-346.5
732,-34.975143,390.8382,-339.5
733,-34.975143,390.8382,-332.5
734,-34.975143,390.8382,-325.5
735,-34.975143,390.8382,-318.5
736,-34.975143,390.8382,-311.5
737,-34.975143,390.8382,-304.5
738,-34.975143,390.8382,-297.5
739,-34.975143,390.8382,-290.5
740,-34.975143,390.8382,-283.5
